,	、
-	ー
.	。
[	「
]	」
a	あ
b'	ばい
b,	ぼう
b.	べい
b;	ばん
ba	ば
bb	っ	b
be	べ
bi	び
bj	べん
bk	ぶん
bn'	びゃい
bn,	びょう
bn.	びぇい
bn;	びゃん
bna	びゃ
bne	びぇ
bni	びぃ
bnj	びぇん
bnk	びゅん
bno	びょ
bnp		びゅう
bnq	びょん
bnu	びゅ
bnx	びぃん
bo	ぼ
bp	ぶう
bq	ぼん
bu	ぶ
bx	びん
bya	びゃ
bye	びぇ
byi	びぃ
byo	びょ
byu	びゅ
c'	かい
c,	こう
c.	けい
c;	かん
ca	か
cc	っ	c
ce	け
ci	き
cj	けん
ck	くん
cn'	きゃい
cn,	きょう
cn,	きょう
cn.	きぇい
cn;	きゃん
cna	きゃ
cne	きぇ
cni	きぃ
cnj	きぇん
cnk	きゅん
cno	きょ
cnp	きゅう
cnq	きょん
cnu	きゅ
cnx	きぃん
co	こ
cp	くう
cq	こん
cu	く
cx	きん
d'	だい
d,	どう
d.	でい
d;	だん
da	だ
dd	っ	d
de	で
dha	でゃ
dhe	でぇ
dhi	でぃ
dho	でょ
dhu	でゅ
di	ぢ
dj	でん
dk	づん
dn'	ぢゃい
dn,	ぢょう
dn.	ぢぇい
dn;	ぢゃん
dna	ぢゃ
dne	ぢぇ
dni	ぢぃ
dnj	ぢぇん
dnk	ぢゅん
dno	ぢょ
dnp	ぢゅう
dnq	ぢょん
dnu	ぢゅ
dnx	ぢぃん
do	ど
dp	づう
dq	どん
du	づ
dwu	どぅ
dx	ぢん
dya	ぢゃ
dye	ぢぇ
dyi	ぢぃ
dyo	ぢょ
dyu	ぢゅ
e	え
f'	ふぁい
f,	ふぉう
f.	ふぇい
f;	ふぁん
fa	ふぁ
fe	ふぇ
ff	っ	f
fi	ふぃ
fj	ふぇん
fk	ふん
fna	ふゃ
fne	ふぇ
fni	ふぃ
fno	ふょ
fnu	ふゅ
fo	ふぉ
fp	ふゅう
fq	ふぉん
fu	ふ
fwa	ふぁ
fwe	ふぇ
fwi	ふぃ
fwo	ふぉ
fwu	ふぅ
fx	ふぃん
fya	ふゃ
fye	ふぇ
fyi	ふぃ
fyo	ふょ
fyu	ふゅ
g'	がい
g,	ごう
g.	げい
g;	がん
ga	が
gda	ぎゃ
gde	ぎぇ
gdi	ぎぃ
gdo	ぎょ
gdu	ぎゅ
ge	げ
gg	っ	g
gi	ぎ
gj	げん
gk	ぐん
gn'	ぎゃい
gn,	ぎょう
gn.	ぎぇい
gn;	ぎゃん
gna	ぎゃ
gne	ぎぇ
gni	ぎぃ
gnj	ぎぇん
gnk	ぎゅん
gno	ぎょ
gnp	ぎゅう
gnq	ぎょん
gnu	ぎゅ
gnx	ぎぃん
go	ご
gp	ぐう
gq	ごん
gu	ぐ
gwa	ぐぁ
gwe	ぐぇ
gwi	ぐぃ
gwo	ぐぉ
gwu	ぐぅ
gx	ぎん
gya	ぎゃ
gye	ぎぇ
gyi	ぎぃ
gyo	ぎょ
gyu	ぎゅ
h'	はい
h,	ほう
h.	へい
h;	はん
ha	は
hd;	ひゃん
hdj	ひぇん
hdk	ひゅん
hdq	ひょん
hdx	ひぃん
he	へ
hh	っ	h
hi	ひ
hj	へん
hk	ふん
hn'	ひゃい
hn,	ひょう
hn.	ひぇい
hna	ひゃ
hne	ひぇ
hni	ひぃ
hno	ひょ
hnp	ひゅう
hnu	ひゅ
ho	ほ
hp	ふう
hq	ほん
hu	ふ
hx	ひん
hya	ひゃ
hye	ひぇ
hyi	ひぃ
hyo	ひょ
hyu	ひゅ
i	い
j'	じゃい
j,	じょう
j.	じぇい
j;	じゃん
ja	じゃ
je	じぇ
ji	じ
jj	っ
jk	じゅん
jo	じょ
jp	じゅう
jq	じょん
ju	じゅ
jx	じん
ka	か
ke	け
kha	きゃ
khe	きぇ
khi	きぃ
kho	きょ
khu	きゅ
ki	き
kk	っ	k
ko	こ
ku	く
kwa	くぁ
kwe	くぇ
kwi	くぃ
kwo	くぉ
ky'	きゃい
ky,	きょう
ky.	きぇい
ky;	きゃん
kya	きゃ
kye	きぇ
kyi	きぃ
kyj	きぇん
kyk	きゅん
kyo	きょ
kyp	きゅう
kyq	きょん
kyu	きゅ
kyx	きぃん
la	ぁ
le	ぇ
lha	ゃ
lho	ょ
lhu	ゅ
li	ぃ
lo	ぉ
ltsu	っ
ltu	っ
lu	ぅ
lya	ゃ
lyo	ょ
lyu	ゅ
m'	まい
m,	もう
m.	めい
m;	まん
ma	ま
md;	みゃん
mdj	みぇん
mdk	みゅん
mdq	みょん
mdx	みぃん
me	め
mi	み
mj	めん
mk	むん
mm	っ	m
mn'	みゃい
mn,	みょう
mn.	みぇい
mna	みゃ
mne	みぇ
mni	みぃ
mno	みょ
mnp	みゅう
mnu	みゅ
mo	も
mp	むう
mq	もん
mu	む
mx	みん
mya	みゃ
mye	みぇ
myi	みぃ
myo	みょ
myu	みゅ
n	ん
n'	ない
n,	のう
n.	ねい
n;	なん
na	な
ne	ね
nh'	にゃい
nh,	にょう
nh.	にぇい
nh;	にゃん
nha	にゃ
nhe	にぇ
nhi	にぃ
nhj	にぇん
nhk	にゅん
nho	にょ
nhp	にゅう
nhq	にょん
nhu	にゅ
nhx	にぃん
ni	に
nj	ねん
nk	ぬん
nn	ん
no	の
np	ぬう
nq	のん
nu	ぬ
nx	にん
nya	にゃ
nye	にぇ
nyi	にぃ
nyo	にょ
nyu	にゅ
o	お
p'	ぱい
p,	ぽう
p.	ぺい
p;	ぱん
pa	ぱ
pe	ぺ
ph'	ぴゃい
ph,	ぴょう
ph.	ぴぇい
ph;	ぴゃん
pha	ぴゃ
phe	ぴぇ
phi	ぴぃ
phj	ぴぇん
phk	ぴゅん
pho	ぴょ
php	ぴゅう
phq	ぴょん
phu	ぴゅ
phx	ぴぃん
pi	ぴ
pj	ぺん
pk	ぷん
pna	ぴゃ
pne	ぴぇ
pni	ぴぃ
pno	ぴょ
pnu	ぴゅ
po	ぽ
pp	っ	p
pq	ぽん
pu	ぷ
px	ぴん
py,	ぴょう
pya	ぴゃ
pye	ぴぇ
pyi	ぴぃ
pyo	ぴょ
pyu	ぴゅ
qa	くぁ
qe	くぇ
qi	くぃ
qo	くぉ
qq	っ	q
r'	らい
r,	ろう
r.	れい
r;	らん
ra	ら
re	れ
rh'	りゃい
rh,	りょう
rh.	りぇい
rh;	りゃん
rha	りゃ
rhe	りぇ
rhi	りぃ
rhj	りぇん
rhk	りゅん
rho	りょ
rhp	りゅう
rhq	りょん
rhu	りゅ
rhx	りぃん
ri	り
rj	れん
rk	るん
ro	ろ
rp	るう
